Approved symbol	Approved name	Status	Alias symbols	Gene group name
CLCA2	chloride channel accessory 2	Approved	CLCRG2	Chloride channel accessory
CLCA3P	"chloride channel accessory 3, pseudogene"	Approved		Chloride channel accessory
CLCA4	chloride channel accessory 4	Approved	CaCC2	Chloride channel accessory
CLCA4-AS1	CLCA4 antisense RNA 1	Approved		Antisense RNAs
CLCC1	chloride channel CLIC like 1	Approved	MCLC	Tetraspan junctional complex superfamily
CLCF1	cardiotrophin like cytokine factor 1	Approved	"NNT1, BSF3, CLC, NR6, CISS2, BSF-3, NNT-1"	Interleukin 6 type cytokine family
CLCN1	chloride voltage-gated channel 1	Approved	"CLC1, ClC-1"	Chloride voltage-gated channels
CLCN2	chloride voltage-gated channel 2	Approved	"CLC2, EJM6, ClC-2"	Chloride voltage-gated channels
CLCN3	chloride voltage-gated channel 3	Approved	"CLC3, ClC-3"	Chloride voltage-gated channels
CLCN3P1	chloride voltage-gated channel 3 pseudogene 1	Approved		
CLCN4	chloride voltage-gated channel 4	Approved	"CLC4, ClC-4"	Chloride voltage-gated channels
CLCN5	chloride voltage-gated channel 5	Approved	"DENTS, XLRH, hClC-K2, hCIC-K2, CLC5, XRN, ClC-5"	Chloride voltage-gated channels|MicroRNA protein coding host genes
CLCN6	chloride voltage-gated channel 6	Approved	"CLC-6, KIAA0046, ClC-6"	Chloride voltage-gated channels
CLCN7	chloride voltage-gated channel 7	Approved	"CLC-7, OPTA2, CLC7, ClC-7, PPP1R63"	Chloride voltage-gated channels|Protein phosphatase 1 regulatory subunits
CLCNKA	chloride voltage-gated channel Ka	Approved	hClC-Ka	Chloride voltage-gated channels
CLCNKB	chloride voltage-gated channel Kb	Approved	hClC-Kb	Chloride voltage-gated channels
CLCNL1	"symbol withdrawn, see [HGNC:2062](/data/gene-symbol-report/#!/hgnc_id/HGNC:2062)"	Symbol Withdrawn		
CLCNL2	"symbol withdrawn, see [HGNC:2063](/data/gene-symbol-report/#!/hgnc_id/HGNC:2063)"	Symbol Withdrawn		
CLCP1	Charcot-Leyden crystal protein pseudogene 1	Approved		
CLCP2	Charcot-Leyden crystal protein pseudogene 2	Approved	LGALS10P1	
CLCS	"symbol withdrawn, see [HGNC:40](/data/gene-symbol-report/#!/hgnc_id/HGNC:40)"	Symbol Withdrawn		
CLD	"symbol withdrawn, see [HGNC:3018](/data/gene-symbol-report/#!/hgnc_id/HGNC:3018)"	Symbol Withdrawn		
CLDN1	claudin 1	Approved	"SEMP1, ILVASC"	Claudins
CLDN2	claudin 2	Approved		Claudins
CLDN3	claudin 3	Approved	"RVP1, CPE-R2, HRVP1"	Claudins
CLDN4	claudin 4	Approved	"CPE-R, WBSCR8, hCPE-R"	Claudins
CLDN5	claudin 5	Approved	"CPETRL1, BEC1"	Claudins
CLDN6	claudin 6	Approved		Claudins
CLDN7	claudin 7	Approved	Hs.84359	Claudins
CLDN7P1	CLDN7 pseudogene 1	Approved		
CLDN8	claudin 8	Approved		Claudins
CLDN9	claudin 9	Approved		Claudins
CLDN10	claudin 10	Approved	"OSP-L, CPETRL3"	Claudins
CLDN10-AS1	CLDN10 antisense RNA 1	Approved		Antisense RNAs
CLDN11	claudin 11	Approved	OSP	Claudins|MicroRNA protein coding host genes
CLDN11CL	claudin 11 C-terminal like	Entry Withdrawn	bcm2492	
CLDN12	claudin 12	Approved		Claudins
CLDN14	claudin 14	Approved		Claudins
CLDN15	claudin 15	Approved		Claudins
CLDN16	claudin 16	Approved	"PCLN1, HOMG3"	Claudins
CLDN17	claudin 17	Approved	"MGC126552, MGC126554"	Claudins
CLDN18	claudin 18	Approved		Claudins
CLDN19	claudin 19	Approved		Claudins
CLDN20	claudin 20	Approved		Claudins
CLDN21	"symbol withdrawn, see [HGNC:37200](/data/gene-symbol-report/#!/hgnc_id/HGNC:37200)"	Symbol Withdrawn		
CLDN22	claudin 22	Approved	CLDN21	Claudins
CLDN23	claudin 23	Approved	CLDNL	Claudins
CLDN24	claudin 24	Approved		Claudins
CLDN25	claudin 25	Approved		Claudins
CLDN34	claudin 34	Approved		
CLDND1	claudin domain containing 1	Approved	Z38	
CLDND2	claudin domain containing 2	Approved	MGC33839	
CLEC1A	C-type lectin domain family 1 member A	Approved	"CLEC1, MGC34328"	C-type lectin domain containing
CLEC1B	C-type lectin domain family 1 member B	Approved	CLEC2	C-type lectin domain containing
CLEC2A	C-type lectin domain family 2 member A	Approved	"UNQ5792, INPE5792, KACL, PILAR"	C-type lectin domain containing
CLEC2B	C-type lectin domain family 2 member B	Approved	"AICL, HP10085"	C-type lectin domain containing
CLEC2D	C-type lectin domain family 2 member D	Approved	"LLT1, CLAX, OCIL"	C-type lectin domain containing
CLEC2L	C-type lectin domain family 2 member L	Approved	FLJ32986	C-type lectin domain containing
CLEC3A	C-type lectin domain family 3 member A	Approved		C-type lectin domain containing
CLEC3B	C-type lectin domain family 3 member B	Approved	TN	C-type lectin domain containing
CLEC4A	C-type lectin domain family 4 member A	Approved	"DCIR, DDB27, CD367"	C-type lectin domain containing|CD molecules
CLEC4C	C-type lectin domain family 4 member C	Approved	"HECL, DLEC, BDCA2, CD303"	CD molecules|C-type lectin domain containing
CLEC4D	C-type lectin domain family 4 member D	Approved	"Mpcl, CD368, MCL, Dectin-3"	CD molecules|C-type lectin domain containing
CLEC4E	C-type lectin domain family 4 member E	Approved	mincle	C-type lectin domain containing
CLEC4F	C-type lectin domain family 4 member F	Approved	"FLJ39110, KCLR"	C-type lectin domain containing
CLEC4G	C-type lectin domain family 4 member G	Approved	"UNQ431, LSECtin"	C-type lectin domain containing
CLEC4GP1	C-type lectin domain family 4 member G pseudogene 1	Approved		
CLEC4M	C-type lectin domain family 4 member M	Approved	"HP10347, DC-SIGNR, LSIGN, DCSIGNR, DC-SIGN2"	CD molecules
CLEC4O	C-type lectin domain family 4 member O	Approved		
CLEC5A	C-type lectin domain containing 5A	Approved	MDL-1	C-type lectin domain containing
CLEC6A	C-type lectin domain containing 6A	Approved	dectin-2	C-type lectin domain containing
CLEC7A	C-type lectin domain containing 7A	Approved	"dectin-1, hDectin-1, CD369, SCARE2"	C-type lectin domain containing|CD molecules|Scavenger receptors
CLEC9A	C-type lectin domain containing 9A	Approved	"UNQ9341, HEEE9341, CD370, DNGR-1"	CD molecules|C-type lectin domain containing
CLEC10A	C-type lectin domain containing 10A	Approved	"HML2, HML, CD301"	CD molecules|C-type lectin domain containing
CLEC11A	C-type lectin domain containing 11A	Approved	"P47, LSLCL, CLECSF3"	C-type lectin domain containing
CLEC12A	C-type lectin domain family 12 member A	Approved	"CLL-1, MICL, CD371, DCAL-2"	C-type lectin domain containing|CD molecules
CLEC12A-AS1	CLEC12A antisense RNA 1	Approved		Antisense RNAs
CLEC12B	C-type lectin domain family 12 member B	Approved		C-type lectin domain containing
CLEC14A	C-type lectin domain containing 14A	Approved		C-type lectin domain containing
CLEC16A	C-type lectin domain containing 16A	Approved	Gop-1	C-type lectin domain containing
CLEC17A	C-type lectin domain containing 17A	Approved	FLJ45910	C-type lectin domain containing
CLEC18A	C-type lectin domain family 18 member A	Approved		CAP and C-type lectin domain containing|C-type lectin domain containing
CLEC18B	C-type lectin domain family 18 member B	Approved		CAP and C-type lectin domain containing|C-type lectin domain containing
CLEC18C	C-type lectin domain family 18 member C	Approved	MGC34761	CAP and C-type lectin domain containing|C-type lectin domain containing
CLEC19A	C-type lectin domain containing 19A	Approved		C-type lectin domain containing
CLEC20A	C-type lectin domain containing 20A	Approved	"FLJ44005, RP4-593C16.2"	C-type lectin domain containing
CLECL1	C-type lectin like 1	Approved	DCAL1	
CLECSF11	"symbol withdrawn, see [HGNC:13258](/data/gene-symbol-report/#!/hgnc_id/HGNC:13258)"	Symbol Withdrawn	"DLEC, BDCA2"	
CLG	"symbol withdrawn, see [HGNC:7155](/data/gene-symbol-report/#!/hgnc_id/HGNC:7155)"	Symbol Withdrawn		
CLG1	"symbol withdrawn, see [HGNC:7175](/data/gene-symbol-report/#!/hgnc_id/HGNC:7175)"	Symbol Withdrawn		
CLG4A	"symbol withdrawn, see [HGNC:7166](/data/gene-symbol-report/#!/hgnc_id/HGNC:7166)"	Symbol Withdrawn		
CLG4B	"symbol withdrawn, see [HGNC:7176](/data/gene-symbol-report/#!/hgnc_id/HGNC:7176)"	Symbol Withdrawn		
CLGI	"symbol withdrawn, see [HGNC:11820](/data/gene-symbol-report/#!/hgnc_id/HGNC:11820)"	Symbol Withdrawn		
CLGN	calmegin	Approved		
CLHC1	clathrin heavy chain linker domain containing 1	Approved	FLJ31438	
CLI	"symbol withdrawn, see [HGNC:2095](/data/gene-symbol-report/#!/hgnc_id/HGNC:2095)"	Symbol Withdrawn		
CLIC1	chloride intracellular channel 1	Approved	"NCC27, p64CLCP, G6, CLCNL1"	Chloride intracellular channels
CLIC1L	"symbol withdrawn, see [HGNC:2065](/data/gene-symbol-report/#!/hgnc_id/HGNC:2065)"	Symbol Withdrawn		
CLIC1P1	chloride intracellular channel 1 pseudogene 1	Approved		
CLIC2	chloride intracellular channel 2	Approved	"XAP121, CLCNL2"	Chloride intracellular channels
CLIC3	chloride intracellular channel 3	Approved		Chloride intracellular channels
CLIC4	chloride intracellular channel 4	Approved	"DKFZP566G223, CLIC4L, P64H1, H1, huH1, p64H1"	Chloride intracellular channels
CLIC4P1	chloride intracellular channel 4 pseudogene 1	Approved		
CLIC4P2	chloride intracellular channel 4 pseudogene 2	Approved		
CLIC4P3	chloride intracellular channel 4 pseudogene 3	Approved		
CLIC5	chloride intracellular channel 5	Approved	DFNB102	Chloride intracellular channels
CLIC6	chloride intracellular channel 6	Approved	CLIC5	Chloride intracellular channels
CLIM1	"symbol withdrawn, see [HGNC:2067](/data/gene-symbol-report/#!/hgnc_id/HGNC:2067)"	Symbol Withdrawn		
CLINT1	clathrin interactor 1	Approved	"ENTH, KIAA0171, EPNR, CLINT"	
CLIP1	CAP-Gly domain containing linker protein 1	Approved	"CYLN1, CLIP170, CLIP, CLIP-170"	
CLIP1-AS1	CLIP1 antisense RNA 1	Approved		Antisense RNAs
CLIP2	CAP-Gly domain containing linker protein 2	Approved	"CLIP-115, KIAA0291, WSCR4, CLIP, WSCR3"	
CLIP3	CAP-Gly domain containing linker protein 3	Approved	"CLIPR-59, RSNL1"	Ankyrin repeat domain containing
CLIP4	CAP-Gly domain containing linker protein family member 4	Approved	FLJ21069	Ankyrin repeat domain containing
CLK1	CDC like kinase 1	Approved		CDC like kinases
CLK2	CDC like kinase 2	Approved		CDC like kinases
CLK2P1	"CDC like kinase 2, pseudogene 1"	Approved		
CLK3	CDC like kinase 3	Approved		CDC like kinases
CLK3P1	CDC like kinase 3 pseudogene 1	Approved		
CLK3P2	CDC like kinase 3 pseudogene 2	Approved		
CLK4	CDC like kinase 4	Approved		CDC like kinases
CLLU1	chronic lymphocytic leukemia up-regulated 1	Approved		Long non-coding RNAs with non-systematic symbols
CLLU1-AS1	CLLU1 antisense RNA 1	Approved		Antisense RNAs
CLM	"symbol withdrawn, see [HGNC:6486](/data/gene-symbol-report/#!/hgnc_id/HGNC:6486)"	Symbol Withdrawn		
CLMAT3	colorectal liver metastasis associated transcript 3	Approved	SPARC-AS1	Long non-coding RNAs with non-systematic symbols
CLMN	calmin	Approved	"FLJ12383, KIAA1188, KIAA0500"	
CLMP	CXADR like membrane protein	Approved	"ASAM, FLJ22415, ACAM"	IgCAM CXADR-related subfamily|I-set domain containing
CLN3	"CLN3 lysosomal/endosomal transmembrane protein, battenin"	Approved	"JNCL, BTN1"	
CLN4	"symbol withdrawn, see [HGNC:16235](/data/gene-symbol-report/#!/hgnc_id/HGNC:16235)"	Symbol Withdrawn		
CLN5	CLN5 intracellular trafficking protein	Approved		
CLN6	CLN6 transmembrane ER protein	Approved	"FLJ20561, HsT18960, nclf"	
CLN7	"symbol withdrawn, see [HGNC:28486](/data/gene-symbol-report/#!/hgnc_id/HGNC:28486)"	Symbol Withdrawn		
CLN8	CLN8 transmembrane ER and ERGIC protein	Approved	"FLJ39417, TLCD6"	TLC domain containing
CLN9	"ceroid-lipofuscinosis, neuronal 9"	Entry Withdrawn		
CLNK	cytokine dependent hematopoietic cell linker	Approved	MIST	SH2 domain containing
CLNS1A	chloride nucleotide-sensitive channel 1A	Approved	ICln	
CLNS1AP1	chloride nucleotide-sensitive channel 1A pseudogene 1	Approved	ICln	
CLOCK	clock circadian regulator	Approved	"KIAA0334, KAT13D, bHLHe8"	Lysine acetyltransferases|Basic helix-loop-helix proteins
CLP1	cleavage factor polyribonucleotide kinase subunit 1	Approved	"HEAB, hClp1"	
CLPA	"symbol withdrawn, see [HGNC:11600](/data/gene-symbol-report/#!/hgnc_id/HGNC:11600)"	Symbol Withdrawn		
CLPB	caseinolytic mitochondrial matrix peptidase chaperone subunit B	Approved	"HSP78, SKD3, FLJ13152, ANKCLB"	Ankyrin repeat domain containing|AAA ATPases|Chaperonins
CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	Approved		AAA ATPases
CLPS	colipase	Approved		
CLPSL1	colipase like 1	Approved	dJ510O8.6	
CLPSL2	colipase like 2	Approved	"dJ510O8.5, UNQ3045"	
CLPTM1	CLPTM1 regulator of GABA type A receptor forward trafficking	Approved		
CLPTM1L	CLPTM1 like	Approved	"FLJ14400, CRR9"	
CLPTM1LP1	CLPTM1L pseudogene 1	Approved		
CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit X	Approved		AAA ATPases
CLRN1	clarin 1	Approved		Clarins
CLRN1-AS1	CLRN1 antisense RNA 1	Approved	UCRP	Antisense RNAs
CLRN2	clarin 2	Approved		Clarins
CLRN3	clarin 3	Approved	"MGC32871, USH3AL1"	Clarins
CLS	"symbol withdrawn, see [HGNC:10432](/data/gene-symbol-report/#!/hgnc_id/HGNC:10432)"	Symbol Withdrawn		
CLSPN	claspin	Approved		
CLSTN1	calsyntenin 1	Approved	"CSTN1, KIAA0911, CDHR12"	Cadherin related
CLSTN2	calsyntenin 2	Approved	"CSTN2, CS2, FLJ39113, CDHR13"	Cadherin related
CLSTN2-AS1	CLSTN2 antisense RNA 1	Approved		Antisense RNAs
CLSTN3	calsyntenin 3	Approved	"CSTN3, KIAA0726, CDHR14"	Cadherin related
CLTA	clathrin light chain A	Approved	Lca	Clathrin subunits
CLTB	clathrin light chain B	Approved	Lcb	Clathrin subunits
CLTC	clathrin heavy chain	Approved	Hc	Clathrin subunits
CLTC-IT1	CLTC intronic transcript 1 (non-protein coding)	Entry Withdrawn		
CLTCL1	clathrin heavy chain like 1	Approved	"CLTD, CLH22, CHC22"	Clathrin subunits
CLTCL2	"symbol withdrawn, see [HGNC:2092](/data/gene-symbol-report/#!/hgnc_id/HGNC:2092)"	Symbol Withdrawn		
CLTRN	"collectrin, amino acid transport regulator"	Approved	NX17	
CLU	clusterin	Approved	"SGP-2, SP-40, TRPM-2, KUB1, CLU1, CLU2"	MicroRNA protein coding host genes|Complement system regulators and receptors
CLUAP1	clusterin associated protein 1	Approved	"FLJ13297, KIAA0643, FAP22, CFAP22, IFT38"	Cilia and flagella associated|IFT-B2 complex
CLUH	clustered mitochondria homolog	Approved	CLU1	MicroRNA protein coding host genes
CLUHP1	clustered mitochondria homolog pseudogene 1	Approved	KIAA0664L1	
CLUHP2	clustered mitochondria homolog pseudogene 2	Approved	KIAA0664L2	
CLUHP3	clustered mitochondria homolog pseudogene 3	Approved	MGC3020	
CLUHP4	clustered mitochondria homolog pseudogene 4	Approved	KIAA0664L4	
CLUHP5	clustered mitochondria homolog pseudogene 5	Approved	KIAA0664L5	
CLUHP6	clustered mitochondria homolog pseudogene 6	Approved		
CLUHP7	clustered mitochondria homolog pseudogene 7	Approved		
CLUHP8	clustered mitochondria homolog pseudogene 8	Approved		
CLUHP9	clustered mitochondria homolog pseudogene 9	Approved		
CLUHP10	clustered mitochondria homolog pseudogene 10	Approved		
CLUHP11	clustered mitochondria homolog pseudogene 11	Approved		
CLUL1	clusterin like 1	Approved		
CLVS1	clavesin 1	Approved	"MGC34646, CRALBPL, C6orf212L"	
CLVS2	clavesin 2	Approved	bA160A10.4	
CLYBL	citramalyl-CoA lyase	Approved	CLB	MicroRNA protein coding host genes
CLYBL-AS1	CLYBL antisense RNA 1	Approved		Antisense RNAs
CLYBL-AS2	CLYBL antisense RNA 2	Approved		Antisense RNAs
CLYBL-IT1	CLYBL intronic transcript 1 (non-protein coding)	Entry Withdrawn		
CMA1	chymase 1	Approved		Granule associated serine proteases of immune defence
CMAHP	"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene"	Approved		
CMAR	"symbol withdrawn, see [HGNC:11237](/data/gene-symbol-report/#!/hgnc_id/HGNC:11237)"	Symbol Withdrawn	CAR	
CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase	Approved		
CMBL	carboxymethylenebutenolidase homolog	Approved	FLJ23617	
CMC1	C-X9-C motif containing 1	Approved	MGC61571	Mitochondrial respiratory chain complex assembly factors
CMC2	C-X9-C motif containing 2	Approved	"DC13, MGC45036"	Mitochondrial respiratory chain complex assembly factors
CMC4	C-X9-C motif containing 4	Approved	"P8MTCP1, p8"	
CMD1	"symbol withdrawn, see [HGNC:11204](/data/gene-symbol-report/#!/hgnc_id/HGNC:11204)"	Symbol Withdrawn		
CMD1A	"symbol withdrawn, see [HGNC:6636](/data/gene-symbol-report/#!/hgnc_id/HGNC:6636)"	Symbol Withdrawn	"IDC, CDDC"	
CMD1B	"cardiomyopathy, dilated 1B (autosomal dominant)"	Entry Withdrawn	FDC	
CMD1C	"symbol withdrawn, see [HGNC:15710](/data/gene-symbol-report/#!/hgnc_id/HGNC:15710)"	Symbol Withdrawn		
CMD1D	"symbol withdrawn, see [HGNC:11949](/data/gene-symbol-report/#!/hgnc_id/HGNC:11949)"	Symbol Withdrawn	CMPD2	
CMD1E	"symbol withdrawn, see [HGNC:10593](/data/gene-symbol-report/#!/hgnc_id/HGNC:10593)"	Symbol Withdrawn	CDCD2	
CMD1F	"cardiomyopathy, dilated 1F (autosomal dominant)"	Entry Withdrawn	"CDCD3, LGMD1E"	
CMD1G	"symbol withdrawn, see [HGNC:12403](/data/gene-symbol-report/#!/hgnc_id/HGNC:12403)"	Symbol Withdrawn	CMPD4	
CMD1H	"cardiomyopathy, dilated 1H (autosomal dominant)"	Entry Withdrawn		
CMD1J	"symbol withdrawn, see [HGNC:3522](/data/gene-symbol-report/#!/hgnc_id/HGNC:3522)"	Symbol Withdrawn		
CMD1K	"cardiomyopathy, dilated 1K (autosomal dominant)"	Entry Withdrawn		
CMD1Q	"cardiomyopathy, dilated 1Q (autosomal dominant)"	Entry Withdrawn		
CMD2A	"symbol withdrawn, see [HGNC:11947](/data/gene-symbol-report/#!/hgnc_id/HGNC:11947)"	Symbol Withdrawn		
CMD3A	"symbol withdrawn, see [HGNC:11577](/data/gene-symbol-report/#!/hgnc_id/HGNC:11577)"	Symbol Withdrawn		
CMDJ	"symbol withdrawn, see [HGNC:15492](/data/gene-symbol-report/#!/hgnc_id/HGNC:15492)"	Symbol Withdrawn		
CMH1	"symbol withdrawn, see [HGNC:7577](/data/gene-symbol-report/#!/hgnc_id/HGNC:7577)"	Symbol Withdrawn		
CMH2	"symbol withdrawn, see [HGNC:11949](/data/gene-symbol-report/#!/hgnc_id/HGNC:11949)"	Symbol Withdrawn		
CMH3	"symbol withdrawn, see [HGNC:12010](/data/gene-symbol-report/#!/hgnc_id/HGNC:12010)"	Symbol Withdrawn		
CMH4	"symbol withdrawn, see [HGNC:7551](/data/gene-symbol-report/#!/hgnc_id/HGNC:7551)"	Symbol Withdrawn		
CMIP	c-Maf inducing protein	Approved		MicroRNA protein coding host genes
CMK	"symbol withdrawn, see [HGNC:7098](/data/gene-symbol-report/#!/hgnc_id/HGNC:7098)"	Symbol Withdrawn		
CMKAR1	"symbol withdrawn, see [HGNC:6026](/data/gene-symbol-report/#!/hgnc_id/HGNC:6026)"	Symbol Withdrawn		
CMKBR9	"symbol withdrawn, see [HGNC:1565](/data/gene-symbol-report/#!/hgnc_id/HGNC:1565)"	Symbol Withdrawn		
CMKBRL1	"symbol withdrawn, see [HGNC:2558](/data/gene-symbol-report/#!/hgnc_id/HGNC:2558)"	Symbol Withdrawn		
CMKLR1	chemerin chemokine-like receptor 1	Approved	RVER1	Chemerin receptor
CMKRL1	"symbol withdrawn, see [HGNC:6713](/data/gene-symbol-report/#!/hgnc_id/HGNC:6713)"	Symbol Withdrawn		
CMKRL2	"symbol withdrawn, see [HGNC:4485](/data/gene-symbol-report/#!/hgnc_id/HGNC:4485)"	Symbol Withdrawn		
CMM	cutaneous malignant melanoma/dysplastic nevus	Entry Withdrawn	CMM1	
CMOAT	"symbol withdrawn, see [HGNC:53](/data/gene-symbol-report/#!/hgnc_id/HGNC:53)"	Symbol Withdrawn		
CMPK1	cytidine/uridine monophosphate kinase 1	Approved	UMP-CMPK	
CMPK2	cytidine/uridine monophosphate kinase 2	Approved	"TYKi, UMP-CMPK2, NDK"	
CMR1A	"cardiomyopathy, restrictive 1A (autosomal dominant)"	Entry Withdrawn		
CMR2A	"cardiomyopathy, restrictive 2A (autosomal recessive)"	Entry Withdrawn		
CMR3A	"cardiomyopathy, restrictive 3A (X-linked)"	Entry Withdrawn		
CMSS1	cms1 ribosomal small subunit homolog	Approved	MGC4308	
CMT1A	"symbol withdrawn, see [HGNC:9118](/data/gene-symbol-report/#!/hgnc_id/HGNC:9118)"	Symbol Withdrawn	HMSNIA	
CMT1B	"symbol withdrawn, see [HGNC:7225](/data/gene-symbol-report/#!/hgnc_id/HGNC:7225)"	Symbol Withdrawn		
CMT2A	"symbol withdrawn, see [HGNC:16636](/data/gene-symbol-report/#!/hgnc_id/HGNC:16636)"	Symbol Withdrawn	HMSNII	
CMT2B	"symbol withdrawn, see [HGNC:9788](/data/gene-symbol-report/#!/hgnc_id/HGNC:9788)"	Symbol Withdrawn		
CMT2D	"symbol withdrawn, see [HGNC:4162](/data/gene-symbol-report/#!/hgnc_id/HGNC:4162)"	Symbol Withdrawn		
CMT4A	"symbol withdrawn, see [HGNC:15968](/data/gene-symbol-report/#!/hgnc_id/HGNC:15968)"	Symbol Withdrawn	CMT4	
CMT4B	"symbol withdrawn, see [HGNC:7450](/data/gene-symbol-report/#!/hgnc_id/HGNC:7450)"	Symbol Withdrawn		
CMTM1	CKLF like MARVEL transmembrane domain containing 1	Approved	"CKLFH1a, CKLFH"	CKLF like MARVEL transmembrane domain containing
CMTM2	CKLF like MARVEL transmembrane domain containing 2	Approved	"MGC39436, FLJ25732"	CKLF like MARVEL transmembrane domain containing
CMTM3	CKLF like MARVEL transmembrane domain containing 3	Approved	"FLJ31762, BNAS2"	CKLF like MARVEL transmembrane domain containing
CMTM4	CKLF like MARVEL transmembrane domain containing 4	Approved		CKLF like MARVEL transmembrane domain containing
CMTM5	CKLF like MARVEL transmembrane domain containing 5	Approved	FLJ37521	CKLF like MARVEL transmembrane domain containing
CMTM6	CKLF like MARVEL transmembrane domain containing 6	Approved	FLJ20396	CKLF like MARVEL transmembrane domain containing
CMTM7	CKLF like MARVEL transmembrane domain containing 7	Approved	FLJ30992	CKLF like MARVEL transmembrane domain containing
CMTM8	CKLF like MARVEL transmembrane domain containing 8	Approved		CKLF like MARVEL transmembrane domain containing
CMTR1	cap methyltransferase 1	Approved	"MTr1, ISG95"	Seven-beta-strand methyltransferase motif containing|G-patch domain containing
CMTR2	cap methyltransferase 2	Approved	"FLJ11171, AFT, MTr2"	Seven-beta-strand methyltransferase motif containing
CMTX1	"symbol withdrawn, see [HGNC:4283](/data/gene-symbol-report/#!/hgnc_id/HGNC:4283)"	Symbol Withdrawn		
CMTX2	"Charcot-Marie-Tooth neuropathy, X-linked 2 (recessive)"	Entry Withdrawn		
CMTX3	"Charcot-Marie-Tooth neuropathy, X-linked 3 (dominant)"	Entry Withdrawn		
CMYA2	"symbol withdrawn, see [HGNC:15580](/data/gene-symbol-report/#!/hgnc_id/HGNC:15580)"	Symbol Withdrawn		
CMYA5	cardiomyopathy associated 5	Approved	"SPRYD2, DKFZp451G223, TRIM76"	Fibronectin type III domain containing|Tripartite motif containing|A-kinase anchoring proteins
CNA1	cornea plana 1 (autosomal dominant)	Entry Withdrawn		
CNA2	"symbol withdrawn, see [HGNC:6309](/data/gene-symbol-report/#!/hgnc_id/HGNC:6309)"	Symbol Withdrawn		
CNBD1	cyclic nucleotide binding domain containing 1	Approved	FLJ35802	
CNBD2	cyclic nucleotide binding domain containing 2	Approved	dJ954P9.1	
CNBP	CCHC-type zinc finger nucleic acid binding protein	Approved	"RNF163, ZCCHC22, CNBP1"	Ring finger proteins|Zinc fingers CCHC-type
CNC2	"Carney complex type 2, multiple neoplasia and lentiginosis"	Entry Withdrawn		
CNCA1	"symbol withdrawn, see [HGNC:2149](/data/gene-symbol-report/#!/hgnc_id/HGNC:2149)"	Symbol Withdrawn		
CNCA2	"symbol withdrawn, see [HGNC:2152](/data/gene-symbol-report/#!/hgnc_id/HGNC:2152)"	Symbol Withdrawn		
CNCG1	"symbol withdrawn, see [HGNC:2148](/data/gene-symbol-report/#!/hgnc_id/HGNC:2148)"	Symbol Withdrawn		
CNCG2	"symbol withdrawn, see [HGNC:2151](/data/gene-symbol-report/#!/hgnc_id/HGNC:2151)"	Symbol Withdrawn		
CNCG3	"symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)"	Symbol Withdrawn		
CNCG3L	"symbol withdrawn, see [HGNC:2151](/data/gene-symbol-report/#!/hgnc_id/HGNC:2151)"	Symbol Withdrawn		
CNDP1	carnosine dipeptidase 1	Approved	"MGC10825, CN1, CPGL2, HsT2308"	
CNDP2	carnosine dipeptidase 2	Approved	"FLJ10830, CN2, HsT2298, CPGL"	
CNEP1R1	CTD nuclear envelope phosphatase 1 regulatory subunit 1	Approved	"FLJ38101, NEP1-R1"	
CNEP1R1P1	CNEP1R1 pseudogene 1	Approved		
CNFN	cornifelin	Approved	PLAC8L2	
CNGA1	cyclic nucleotide gated channel subunit alpha 1	Approved	"RCNC1, RCNCa, CNG1, RP49"	Cyclic nucleotide gated channels
CNGA2	cyclic nucleotide gated channel subunit alpha 2	Approved	"CNG2, OCNC1, OCNCa, OCNCALPHA, OCNCalpha, FLJ46312"	Cyclic nucleotide gated channels
CNGA3	cyclic nucleotide gated channel subunit alpha 3	Approved	"CCNC1, CCNCa, CNG3"	Cyclic nucleotide gated channels
CNGA4	cyclic nucleotide gated channel subunit alpha 4	Approved	"OCNC2, OCNCb, CNG5"	Cyclic nucleotide gated channels
CNGB1	cyclic nucleotide gated channel subunit beta 1	Approved	"RCNC2, RCNCb, GARP, GAR1, CNGB1B, RP45"	Cyclic nucleotide gated channels
CNGB3	cyclic nucleotide gated channel subunit beta 3	Approved		Cyclic nucleotide gated channels
CNIH1	cornichon family AMPA receptor auxiliary protein 1	Approved	"TGAM77, CNIL"	
CNIH2	cornichon family AMPA receptor auxiliary protein 2	Approved	"MGC50896, Cnil, CNIH-2"	
CNIH3	cornichon family AMPA receptor auxiliary protein 3	Approved	"FLJ38993, CNIH-3"	
CNIH3-AS1	CNIH3 antisense RNA 1	Approved		Antisense RNAs
CNIH3-AS2	CNIH3 antisense RNA 2	Approved		Antisense RNAs
CNIH4	cornichon family AMPA receptor auxiliary protein 4	Approved	HSPC163	
CNKSR1	connector enhancer of kinase suppressor of Ras 1	Approved	"CNK1, KSR, CNK"	PDZ domain containing|Pleckstrin homology domain containing|Sterile alpha motif domain containing
CNKSR2	connector enhancer of kinase suppressor of Ras 2	Approved	"KIAA0902, CNK2, KSR2"	Sterile alpha motif domain containing|Pleckstrin homology domain containing|PDZ domain containing
